Date,ticker,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2025-08-25,GOOGL,207.8969116210937,209.92113563994843,204.69603644956013,205.84275894542608,29928900,2.393173217773437,0.0116453999151908,198.6271198706344,186.8980224609375,177.0144155883789,71.46914045947747,4.519113710333669,1581767900.0,4.929396660925761,-0.0938278661660305,5.023224527091792,189.37212121615707,198.8781478881836,208.3841745602101,9.559649235441556,0.9743708409450258,76.82794358355301,69.93234290512858,-0.0064751365384655,0
2025-08-26,GOOGL,206.55075073242188,207.258737698756,205.11484464858785,206.9196933289633,28464100,-1.346160888671875,-0.0064751365384655,199.38175138128085,187.5455749511719,177.20384574890136,68.11075353726179,4.395038943345973,1553303800.0,4.97141389816764,-0.0414485031393212,5.012862401306961,189.5398406270818,199.4460273742676,209.35221412145336,9.933701741370331,0.85860031410031,83.53310236910794,76.15288656767653,0.0016414127422799,1
2025-08-27,GOOGL,206.8897857666016,208.31572581537765,205.0649896678173,205.11485047791405,23022900,0.3390350341796875,0.0016414127422799,200.0968022751209,188.15802764892572,177.36133567810057,68.51207145989528,4.313303029361287,1576326700.0,4.974724626389502,-0.0305102199339675,5.00523484632347,189.715442795852,199.9919692993164,210.26849580278085,10.276939158576084,0.8356103088412099,81.74545094936455,80.7021656340085,0.0200501094165979,1
2025-08-28,GOOGL,211.03794860839844,211.61630051242363,206.3114269747057,206.66043741838072,32339300,4.148162841796875,0.0200501094165979,201.13881621162355,188.86979705810543,177.51850051879882,72.9907750627164,4.3841294942439015,1608666000.0,5.251534060366055,0.1970393712340676,5.054494689131987,190.4304192171184,200.97616119384764,211.5219031705769,10.494520259601902,0.97705450392934,84.52354358712047,83.26736563519763,0.0060008316352246,1
2025-08-29,GOOGL,212.30435180664065,214.03939239893296,209.60205408045064,209.91116980825524,39728400,1.2664031982421875,0.0060008316352246,202.2022005540061,189.6593444824219,177.69392143249513,74.19740076802339,4.387930124546646,1648394400.0,5.50958462347964,0.3640719474781217,5.145512676001518,192.132717218627,202.16177825927736,212.1908392999277,9.92181719710424,1.0056591791720488,88.26929443592188,84.84609632413563,-0.0073270153802278,0
2025-09-02,GOOGL,210.7487945556641,211.0778424398192,205.6134352460792,207.84706876322787,47523000,-1.5555572509765625,-0.0073270153802278,203.01616188749736,190.55100128173828,177.85162788391114,70.05728542292911,4.552429155690561,1600871400.0,5.524883664320015,0.3034967906547976,5.221386873665217,192.9301410329102,202.9749588012696,213.01977656962887,9.897593109693991,0.8869575304233847,89.45483023089987,87.41588941798074,0.0913650109295547,1
2025-09-03,GOOGL,230.0038604736328,230.6520053756624,224.15054812619755,225.5665221360729,103336100,19.25506591796875,0.0913650109295547,205.58641889570072,191.8566766357422,178.09929992675782,82.82923317777575,5.648913560283969,1704207500.0,7.009925109553507,1.4308305887106307,5.579094520842876,189.98975941454896,204.76934051513672,219.54892161572448,14.43534570498384,1.353695371565455,90.06835029693103,89.26415832125092,0.0071099456245593,1
2025-09-04,GOOGL,231.63917541503903,231.70896837288984,225.46678177531555,228.99670478436465,51684200,1.63531494140625,0.0071099456245593,208.0676338023044,193.1635479736328,178.36876174926758,83.47396014653586,5.691290205804706,1755891700.0,8.223986406876492,2.115913508826892,6.1080728980496,188.3337597969904,206.57468948364257,224.81561917029475,17.660372364346767,1.187039705814377,93.21640519557168,90.9131952411342,0.0116230438573174,1
2025-09-05,GOOGL,234.3315277099609,235.08936036459093,231.2403397689098,231.5394894431058,46588900,2.692352294921875,0.0116230438573174,210.568957031605,194.44628936767572,178.66808074951172,84.50548411436392,5.559699519367308,1802480600.0,9.296227932215883,2.550524027333028,6.745703904882857,187.290229133716,208.4932174682617,229.69620580280747,20.33925956154753,1.1093082218887325,98.66364816638756,93.98280121963008,-0.0031944727247912,0
2025-09-08,GOOGL,233.5829620361328,237.66498669397225,233.21368944217105,235.01017746372744,32474700,-0.748565673828125,-0.0031944727247912,212.76076703203623,195.6570217895508,178.9790089416504,82.95511046462698,5.480527928826873,1770005900.0,9.970648641253716,2.5799557890966875,7.39069285215703,186.6128621777881,210.1300148010254,233.6471674242628,22.38343022581139,0.9986349242793432,96.0189140702703,95.96632247740985,0.0238848170049659,1
